FullDate,Start of Week,Start of Month
1/01/2005,27/12/2004,1/01/2005
2/01/2005,27/12/2004,1/01/2005
3/01/2005,3/01/2005,1/01/2005
4/01/2005,3/01/2005,1/01/2005
5/01/2005,3/01/2005,1/01/2005
6/01/2005,3/01/2005,1/01/2005
7/01/2005,3/01/2005,1/01/2005
8/01/2005,3/01/2005,1/01/2005
9/01/2005,3/01/2005,1/01/2005
10/01/2005,10/01/2005,1/01/2005
11/01/2005,10/01/2005,1/01/2005
12/01/2005,10/01/2005,1/01/2005
13/01/2005,10/01/2005,1/01/2005
14/01/2005,10/01/2005,1/01/2005
15/01/2005,10/01/2005,1/01/2005
16/01/2005,10/01/2005,1/01/2005
17/01/2005,17/01/2005,1/01/2005
18/01/2005,17/01/2005,1/01/2005
19/01/2005,17/01/2005,1/01/2005
20/01/2005,17/01/2005,1/01/2005
21/01/2005,17/01/2005,1/01/2005
22/01/2005,17/01/2005,1/01/2005
23/01/2005,17/01/2005,1/01/2005
24/01/2005,24/01/2005,1/01/2005
25/01/2005,24/01/2005,1/01/2005
26/01/2005,24/01/2005,1/01/2005
27/01/2005,24/01/2005,1/01/2005
28/01/2005,24/01/2005,1/01/2005
29/01/2005,24/01/2005,1/01/2005
30/01/2005,24/01/2005,1/01/2005
31/01/2005,31/01/2005,1/01/2005
1/02/2005,31/01/2005,1/02/2005
2/02/2005,31/01/2005,1/02/2005
3/02/2005,31/01/2005,1/02/2005
4/02/2005,31/01/2005,1/02/2005
5/02/2005,31/01/2005,1/02/2005
6/02/2005,31/01/2005,1/02/2005
7/02/2005,7/02/2005,1/02/2005
8/02/2005,7/02/2005,1/02/2005
9/02/2005,7/02/2005,1/02/2005
10/02/2005,7/02/2005,1/02/2005
11/02/2005,7/02/2005,1/02/2005
12/02/2005,7/02/2005,1/02/2005
13/02/2005,7/02/2005,1/02/2005
14/02/2005,14/02/2005,1/02/2005
15/02/2005,14/02/2005,1/02/2005
16/02/2005,14/02/2005,1/02/2005
17/02/2005,14/02/2005,1/02/2005
18/02/2005,14/02/2005,1/02/2005
19/02/2005,14/02/2005,1/02/2005
20/02/2005,14/02/2005,1/02/2005
21/02/2005,21/02/2005,1/02/2005
22/02/2005,21/02/2005,1/02/2005
23/02/2005,21/02/2005,1/02/2005
24/02/2005,21/02/2005,1/02/2005
25/02/2005,21/02/2005,1/02/2005
26/02/2005,21/02/2005,1/02/2005
27/02/2005,21/02/2005,1/02/2005
28/02/2005,28/02/2005,1/02/2005
1/03/2005,28/02/2005,1/03/2005
2/03/2005,28/02/2005,1/03/2005
3/03/2005,28/02/2005,1/03/2005
4/03/2005,28/02/2005,1/03/2005
5/03/2005,28/02/2005,1/03/2005
6/03/2005,28/02/2005,1/03/2005
7/03/2005,7/03/2005,1/03/2005
8/03/2005,7/03/2005,1/03/2005
9/03/2005,7/03/2005,1/03/2005
10/03/2005,7/03/2005,1/03/2005
11/03/2005,7/03/2005,1/03/2005
12/03/2005,7/03/2005,1/03/2005
13/03/2005,7/03/2005,1/03/2005
14/03/2005,14/03/2005,1/03/2005
15/03/2005,14/03/2005,1/03/2005
16/03/2005,14/03/2005,1/03/2005
17/03/2005,14/03/2005,1/03/2005
18/03/2005,14/03/2005,1/03/2005
19/03/2005,14/03/2005,1/03/2005
20/03/2005,14/03/2005,1/03/2005
21/03/2005,21/03/2005,1/03/2005
22/03/2005,21/03/2005,1/03/2005
23/03/2005,21/03/2005,1/03/2005
24/03/2005,21/03/2005,1/03/2005
25/03/2005,21/03/2005,1/03/2005
26/03/2005,21/03/2005,1/03/2005
